Run;n_layer;n_units;learning_rate;activation;criterion;decroissant;optimizer;Smoothed;Value;Step
T2-T4_T5/trial_26;2;256;0,0002;tanh;Huber;0;RMSprop;4,5762;4,5762;1 000
T2-T4_T5/trial_27;3;256;0,0001;tanh;Huber;0;RMSprop;4,6546;4,6546;1 940
T2-T4_T5/trial_28;2;256;0,0003;tanh;Huber;0;RMSprop;4,4426;4,4426;700
T2-T4_T5/trial_29;1;256;0;tanh;Huber;0;RMSprop;6,331;6,331;4 000
T2-T4_T5/trial_3;3;32;0,0059;ReLU;MSE;1;Adam;3,6971;3,6971;270
T2-T4_T5/trial_30;3;256;0;tanh;Huber;0;RMSprop;11,342;11,342;4 000
T2-T4_T5/trial_31;2;256;0,0003;tanh;Huber;0;RMSprop;4,8453;4,8453;920
T2-T4_T5/trial_32;2;256;0,0006;tanh;Huber;0;RMSprop;5,5039;5,5039;380
T2-T4_T5/trial_33;1;256;0,0002;tanh;Huber;0;RMSprop;4,3005;4,3005;1 000
T2-T4_T5/trial_34;1;256;0;tanh;Huber;0;RMSprop;5,3162;5,3162;2 460
T2-T4_T5/trial_35;1;32;0,0002;tanh;Huber;0;RMSprop;8,1432;8,1432;4 000
T2-T4_T5/trial_36;1;256;0;ReLU;Huber;0;RMSprop;3,6699;3,6699;1 060
T2-T4_T5/trial_37;1;64;0;ReLU;Huber;0;RMSprop;3,466;3,466;4 446
T2-T4_T5/trial_38;1;64;0;ReLU;MSE;0;RMSprop;3,4758;3,4758;2 925
T2-T4_T5/trial_39;1;64;0;ReLU;Huber;0;RMSprop;3,4593;3,4593;2 847
T2-T4_T5/trial_4;2;256;0,0002;tanh;Huber;0;RMSprop;5,5464;5,5464;1 120
T2-T4_T5/trial_40;1;64;0;ReLU;Huber;0;RMSprop;3,4706;3,4706;3 666
T2-T4_T5/trial_41;1;64;0;ReLU;Huber;0;RMSprop;3,4983;3,4983;3 666
T2-T4_T5/trial_42;1;64;0;ReLU;Huber;0;RMSprop;3,4906;3,4906;3 081
T2-T4_T5/trial_43;1;64;0;ReLU;Huber;0;RMSprop;3,4367;3,4367;6 864
T2-T4_T5/trial_44;1;64;0;ReLU;Huber;0;RMSprop;3,4759;3,4759;5 733
T2-T4_T5/trial_45;1;64;0;ReLU;Huber;0;RMSprop;3,6935;3,6935;4 017
T2-T4_T5/trial_46;1;64;0;ReLU;Huber;0;RMSprop;3,4921;3,4921;7 800
T2-T4_T5/trial_47;1;64;0;ReLU;MSE;0;RMSprop;3,4461;3,4461;4 641
T2-T4_T5/trial_48;1;64;0;ReLU;Huber;0;Adam;3,4737;3,4737;5 304
T2-T4_T5/trial_49;1;64;0;ReLU;Huber;0;RMSprop;3,5321;3,5321;3 510
T2-T4_T5/trial_5;1;1 024;0;ReLU;MSE;1;RMSprop;3,4989;3,4989;490
T2-T4_T5/trial_6;3;64;0,0002;sigmoid;Huber;1;RMSprop;21,6077;21,6077;2 000
